Instructor,Course.Number,Total.Students,A,B,C,D,F,W,Avg.GPA
"Dill, Brian J",SOC 226,115,60%,26%,9%,2%,3%,0%,3.29
"McDermott, Monica",SOC 200,818,72%,21%,4%,2%,1%,0%,3.55
"McDermott, Monica",SOC 480,62,52%,27%,8%,5%,6%,2%,3.11
"McDermott, Monica",SOC 583,44,84%,14%,0%,0%,2%,0%,3.74
"Moussawi, Ghassan",SOC 225,61,51%,21%,20%,2%,5%,2%,3.13
"Moussawi, Ghassan",SOC 396,36,47%,39%,8%,6%,0%,0%,3.24
"Buckley, Cynthia",SOC 270,169,25%,42%,21%,8%,2%,1%,2.81
"Buckley, Cynthia",SOC 196,112,36%,38%,21%,4%,1%,0%,3.04
"Buckley, Cynthia",SOC 488,27,33%,19%,44%,4%,0%,0%,2.84
"Morrow, Rebecca L",SOC 275,69,71%,19%,4%,0%,6%,0%,3.44
"Morrow, Rebecca L",SOC 100,90,74%,22%,2%,0%,1%,0%,3.62
"Sattari, Negin",SOC 310,45,62%,20%,9%,4%,4%,0%,3.33
"Sattari, Negin",SOC 380,56,73%,16%,5%,2%,2%,2%,3.56
"Sattari, Negin",SOC 100,123,76%,18%,3%,2%,1%,0%,3.59
"Sattari, Negin",SOC 280,21,38%,33%,19%,10%,0%,0%,2.92
"Bu, Qingyu",SOC 380,50,34%,36%,12%,14%,4%,0%,2.86
"Sandefur, Rebecca L",SOC 477,21,76%,24%,0%,0%,0%,0%,3.73
"Sandefur, Rebecca L",SOC 373,66,56%,32%,8%,5%,0%,0%,3.41
"Stephens, Nathan A",SOCW 101,22,91%,5%,0%,0%,5%,0%,3.67
"Earls Larrison, Tara",SOCW 200,598,31%,45%,16%,4%,3%,1%,2.94
"King, Tanisha T",SOCW 200,38,26%,58%,13%,0%,3%,0%,3.02
"King, Tanisha T",GS 101,41,61%,27%,10%,2%,0%,0%,3.38
"Wang, Yang",SOCW 225,30,23%,50%,13%,10%,3%,0%,2.8
"Wang, Yang",CHEM 103,778,52%,31%,11%,2%,3%,1%,3.26
"Heil, Michele A",SOCW 240,30,73%,17%,10%,0%,0%,0%,3.63
"Balgopal, Anita A",SOCW 297,186,89%,9%,2%,0%,0%,0%,3.86
"Balgopal, Anita A",SOCW 397,21,71%,24%,5%,0%,0%,0%,3.64
"Carter-Black, Janet D",SOCW 300,1027,58%,30%,8%,1%,1%,1%,3.41
"Carter-Black, Janet D",SOCW 401,192,92%,6%,1%,0%,1%,0%,3.84
"Carter-Black, Janet D",SOCW 400,42,86%,14%,0%,0%,0%,0%,3.83
"Mauck, Carol W",SOCW 315,29,83%,14%,0%,0%,3%,0%,3.66
"Mauck, Carol W",SOCW 321,153,81%,18%,1%,0%,0%,0%,3.78
"Mauck, Carol W",SOCW 380,27,89%,11%,0%,0%,0%,0%,3.86
"Mauck, Carol W",SOCW 410,80,89%,11%,0%,0%,0%,0%,3.87
"Mauck, Carol W",SOCW 415,29,90%,10%,0%,0%,0%,0%,3.89
"Wilson Smith, Carol J",SOCW 401,88,85%,14%,0%,1%,0%,0%,3.83
"Wilson Smith, Carol J",SOCW 380,51,78%,12%,2%,8%,0%,0%,3.54
"Wilson Smith, Carol J",SOCW 300,55,62%,27%,11%,0%,0%,0%,3.5
"Wilson Smith, Carol J",SOCW 532,47,94%,6%,0%,0%,0%,0%,3.94
"Wilson Smith, Carol J",SOCW 531,48,90%,4%,6%,0%,0%,0%,3.83
"Cintron, Valerie",SOCW 402,66,79%,17%,0%,0%,5%,0%,3.63
"Cintron, Valerie",SOCW 451,112,78%,17%,3%,2%,1%,0%,3.61
"Cintron, Valerie",SOCW 505,24,92%,8%,0%,0%,0%,0%,3.92
"Cintron, Valerie",SOCW 500,24,92%,4%,4%,0%,0%,0%,3.81
"Keenan, Kimberly A",SOCW 403,44,80%,18%,2%,0%,0%,0%,3.75
"Keenan, Kimberly A",SOCW 410,26,77%,8%,12%,4%,0%,0%,3.48
"Keenan, Kimberly A",SOCW 500,45,71%,29%,0%,0%,0%,0%,3.68
"Camp, Donna P",SOCW 410,98,83%,14%,1%,0%,0%,2%,3.78
"Lindsey, Brenda C",SOCW 416,110,69%,21%,6%,3%,0%,1%,3.58
"Lindsey, Brenda C",SOCW 101,68,56%,31%,4%,3%,4%,1%,3.25
"Lindsey, Brenda C",SOCW 507,46,87%,13%,0%,0%,0%,0%,3.85
"Lindsey, Brenda C",SOCW 380,27,41%,37%,19%,4%,0%,0%,3.21
"Lindsey, Brenda C",SOCW 402,24,75%,17%,0%,0%,0%,8%,3.77
"Lindsey, Brenda C",SOCW 501,21,90%,10%,0%,0%,0%,0%,3.84
"Bennett, Kyle M",SOCW 420,55,84%,16%,0%,0%,0%,0%,3.76
"Li, Hong",SOCW 427,27,44%,56%,0%,0%,0%,0%,3.35
"Li, Hong",SOCW 541,312,48%,50%,1%,0%,0%,0%,3.41
"Li, Hong",SOCW 415,25,48%,52%,0%,0%,0%,0%,3.43
"Hernandez, Rosalba",SOCW 427,128,65%,27%,4%,2%,0%,2%,3.5
"Zhan, Min",SOCW 427,201,77%,22%,0%,0%,1%,0%,3.68
"Munoz-Najar, Julie L",SOCW 461,24,96%,4%,0%,0%,0%,0%,3.94
"White-Gibson, Nancy L",SOCW 461,68,88%,12%,0%,0%,0%,0%,3.88
"White-Gibson, Nancy L",SOCW 472,25,92%,8%,0%,0%,0%,0%,3.88
"White-Gibson, Nancy L",SOCW 471,45,80%,20%,0%,0%,0%,0%,3.8
"White-Gibson, Nancy L",SOCW 400,24,96%,4%,0%,0%,0%,0%,3.96
"White-Gibson, Nancy L",SOCW 402,21,57%,43%,0%,0%,0%,0%,3.6
"White-Gibson, Nancy L",SOCW 501,25,84%,16%,0%,0%,0%,0%,3.81
"Leytham Powell, Tara",SOCW 503,48,94%,6%,0%,0%,0%,0%,3.9
"Leytham Powell, Tara",SOCW 400,24,75%,21%,4%,0%,0%,0%,3.71
"Tan, Kevin P",SOCW 506,24,96%,4%,0%,0%,0%,0%,3.92
"Tan, Kevin P",SOCW 542,35,74%,26%,0%,0%,0%,0%,3.71
"Havlicek, Judith R",SOCW 509,25,80%,20%,0%,0%,0%,0%,3.75
"Havlicek, Judith R",SOCW 505,149,89%,9%,1%,0%,0%,0%,3.87
"Havlicek, Judith R",SOCW 451,165,82%,14%,3%,0%,0%,1%,3.79
"Bedient, Mary Lou",SOCW 509,25,88%,12%,0%,0%,0%,0%,3.88
"Bedient, Mary Lou",SOCW 471,25,88%,12%,0%,0%,0%,0%,3.88
"Bedient, Mary Lou",SOCW 340,27,78%,19%,0%,4%,0%,0%,3.7
"Bedient, Mary Lou",SOCW 380,30,97%,3%,0%,0%,0%,0%,3.97
"Piedra, Lissette",SOCW 509,22,91%,0%,5%,5%,0%,0%,3.73
"Piedra, Lissette",SOCW 500,171,88%,10%,2%,0%,0%,0%,3.82
"Piedra, Lissette",SOCW 321,121,54%,31%,10%,0%,2%,3%,3.4
"Piedra, Lissette",SOCW 412,78,77%,21%,3%,0%,0%,0%,3.73
"Escobar-Sawicki, Christin",SOCW 532,27,93%,7%,0%,0%,0%,0%,3.91
"Escobar-Sawicki, Christin",SOCW 531,46,91%,9%,0%,0%,0%,0%,3.93
"Houston, Elisabeth A",SOCW 532,48,96%,4%,0%,0%,0%,0%,3.94
"Houston, Elisabeth A",SOCW 521,22,95%,5%,0%,0%,0%,0%,3.95
"Kang, Sung Wan",SOCW 542,53,94%,4%,0%,0%,2%,0%,3.84
"Shea, Timothy M",SOCW 552,112,88%,11%,1%,0%,0%,1%,3.82
"Shea, Timothy M",SOCW 508,22,91%,9%,0%,0%,0%,0%,3.88
"Shea, Timothy M",SOCW 505,23,78%,22%,0%,0%,0%,0%,3.81
"Fischer, Karla A",SOCW 589,47,70%,17%,6%,6%,0%,0%,3.5
"Kopels, Sandra L",SOCW 589,819,67%,32%,0%,0%,0%,0%,3.63
"Abbott, Annie R",SPAN 142,23,70%,26%,0%,4%,0%,0%,3.54
"Abbott, Annie R",SPAN 332,66,86%,8%,5%,0%,2%,0%,3.74
"Jegerski, Jill",SPAN 308,45,89%,11%,0%,0%,0%,0%,3.88
"Jegerski, Jill",SPAN 252,90,88%,11%,1%,0%,0%,0%,3.87
"Jegerski, Jill",SPAN 305,46,76%,11%,9%,0%,2%,2%,3.59
"Jegerski, Jill",SPAN 571,22,82%,18%,0%,0%,0%,0%,3.8
"Mostacero Pinil, Cristina",SPAN 308,95,75%,22%,3%,0%,0%,0%,3.7
"Carey, Yvonne A",SPED 117,291,94%,4%,1%,0%,1%,0%,3.91
"Carey, Yvonne A",SPED 526,26,92%,8%,0%,0%,0%,0%,3.92
"Carey, Yvonne A",SPED 444,32,97%,3%,0%,0%,0%,0%,3.96
"Wolowiec-Fisher, Kimberly",SPED 405,44,77%,14%,2%,0%,5%,2%,3.57
"Wolowiec-Fisher, Kimberly",SPED 322,32,50%,25%,16%,3%,6%,0%,3.09
"Laumann, Bernadette M",SPED 414,21,86%,14%,0%,0%,0%,0%,3.86
"Burke, Meghan M",SPED 431,64,97%,3%,0%,0%,0%,0%,3.96
"Burke, Meghan M",SPED 426,27,96%,4%,0%,0%,0%,0%,3.93
"Corr, Catherine P",SPED 465,21,81%,14%,5%,0%,0%,0%,3.76
"Light Shriner, Cheryl L",SPED 471,35,86%,14%,0%,0%,0%,0%,3.86
"Light Shriner, Cheryl L",SPED 322,507,79%,17%,3%,1%,0%,0%,3.75
"Light Shriner, Cheryl L",SPED 117,906,86%,11%,2%,0%,1%,0%,3.81
"Light Shriner, Cheryl L",SPED 405,151,85%,11%,4%,0%,0%,0%,3.81
"Light Shriner, Cheryl L",SPED 448,35,89%,11%,0%,0%,0%,0%,3.89
"Light Shriner, Cheryl L",SPED 205,96,76%,19%,5%,0%,0%,0%,3.71
"Light Shriner, Cheryl L",SPED 431,32,94%,3%,3%,0%,0%,0%,3.85
"Light Shriner, Cheryl L",SPED 461,144,84%,12%,3%,1%,0%,0%,3.79
"Light Shriner, Cheryl L",SPED 317,26,92%,8%,0%,0%,0%,0%,3.95
"Flanagan, Karle A",STAT 100,2093,51%,30%,13%,4%,2%,0%,3.25
"Fireman, Ellen S",STAT 100,8329,66%,24%,7%,2%,1%,0%,3.5
"Fireman, Ellen S",STAT 200,1304,68%,24%,5%,1%,1%,1%,3.55
"Sass, Danielle K",STAT 100,54,43%,20%,28%,7%,2%,0%,2.93
"Ouyang, Yunbo",STAT 200,44,68%,18%,5%,9%,0%,0%,3.45
"Biscarri, William D",STAT 200,43,88%,9%,0%,0%,2%,0%,3.81
"Song, Yanglei",STAT 200,45,58%,33%,7%,0%,0%,2%,3.54
"Simpson, Douglas G",STAT 212,381,54%,32%,11%,3%,1%,0%,3.34
"Simpson, Douglas G",STAT 410,73,66%,19%,7%,4%,4%,0%,3.36
"Simpson, Douglas G",STAT 425,73,66%,26%,7%,0%,1%,0%,3.54
"Simpson, Douglas G",STAT 200,59,51%,34%,12%,2%,0%,2%,3.4
"Douglas, Jeffrey A",STAT 212,230,70%,20%,5%,3%,1%,1%,3.55
"Douglas, Jeffrey A",STAT 425,241,62%,26%,7%,2%,2%,0%,3.43
"Douglas, Jeffrey A",STAT 428,190,57%,15%,15%,8%,2%,2%,3.15
"Douglas, Jeffrey A",STAT 410,159,59%,20%,11%,5%,4%,1%,3.21
"Douglas, Jeffrey A",STAT 426,227,52%,31%,11%,4%,2%,0%,3.26
"Douglas, Jeffrey A",STAT 430,258,75%,13%,5%,2%,4%,0%,3.51
"Balamuta, James J",STAT 385,35,51%,31%,11%,3%,0%,3%,3.37
"Dalpiaz, David M",STAT 400,762,44%,31%,13%,6%,5%,1%,3.02
"Dalpiaz, David M",STAT 430,230,73%,21%,4%,0%,1%,0%,3.63
"Dalpiaz, David M",STAT 420,245,82%,13%,3%,0%,1%,0%,3.72
"Dalpiaz, David M",STAT 212,234,60%,25%,9%,2%,3%,1%,3.38
"Dalpiaz, David M",STAT 200,27,63%,26%,7%,0%,4%,0%,3.46
"Dalpiaz, David M",STAT 100,29,59%,14%,10%,3%,10%,3%,3.08
"Chatterjee, Sabyasachi",STAT 400,163,30%,36%,25%,7%,2%,0%,2.83
"Stepanov, Alexey G",STAT 400,2831,43%,34%,15%,5%,2%,0%,3.08
"Stepanov, Alexey G",STAT 410,1259,46%,24%,15%,8%,6%,2%,2.94
"Stepanov, Alexey G",STAT 430,210,53%,30%,11%,4%,1%,1%,3.28
"Stepanov, Alexey G",STAT 409,555,51%,28%,14%,6%,2%,0%,3.16
"Stepanov, Alexey G",STAT 420,1206,64%,25%,8%,2%,1%,0%,3.46
"Stepanov, Alexey G",STAT 408,484,41%,32%,16%,5%,4%,1%,2.95
"Ravat, Uma V",STAT 400,570,52%,31%,10%,4%,3%,0%,3.21
"Ravat, Uma V",STAT 409,84,42%,33%,14%,6%,5%,0%,2.99
"Ravat, Uma V",STAT 428,131,60%,27%,6%,3%,2%,2%,3.37
"Ravat, Uma V",STAT 408,90,50%,27%,13%,4%,4%,1%,3.12
"Ravat, Uma V",STAT 100,2287,58%,28%,10%,2%,1%,0%,3.38
"Ravat, Uma V",IE 430,67,45%,40%,12%,3%,0%,0%,3.25
"Unger, David",STAT 420,422,78%,16%,4%,1%,0%,0%,3.67
"Unger, David",STAT 440,1069,72%,22%,3%,1%,1%,0%,3.61
"Gweon, Hyukjun",STAT 420,147,56%,35%,7%,0%,0%,1%,3.52
"Culpepper, Steven A",STAT 420,324,59%,23%,12%,4%,3%,0%,3.28
"Culpepper, Steven A",STAT 425,127,70%,24%,4%,1%,1%,0%,3.61
"Culpepper, Steven A",STAT 400,799,44%,31%,14%,5%,6%,1%,3
"Culpepper, Steven A",STAT 410,209,43%,26%,16%,7%,6%,1%,2.93
"Culpepper, Steven A",PSYC 588,34,94%,3%,3%,0%,0%,0%,3.88
"Liang, Feng",STAT 425,334,74%,22%,2%,1%,1%,0%,3.67
"Liang, Feng",STAT 542,358,90%,8%,1%,0%,0%,1%,3.85
"Liang, Feng",STAT 410,139,38%,31%,19%,6%,5%,1%,2.9
"Liang, Feng",STAT 424,67,61%,28%,7%,0%,1%,1%,3.43
"Liang, Feng",STAT 510,47,85%,9%,6%,0%,0%,0%,3.74
"Shao, Xiaofeng",STAT 429,77,77%,19%,0%,0%,1%,3%,3.63
"Shao, Xiaofeng",STAT 510,181,54%,38%,8%,0%,0%,1%,3.43
"Shao, Xiaofeng",STAT 571,75,79%,20%,1%,0%,0%,0%,3.69
"Glosemeyer, Darren W",STAT 443,95,57%,38%,4%,1%,0%,0%,3.48
"Glosemeyer, Darren W",STAT 448,604,59%,32%,6%,1%,1%,1%,3.44
"Glosemeyer, Darren W",STAT 480,60,68%,25%,2%,2%,3%,0%,3.46
"Glosemeyer, Darren W",STAT 430,146,62%,32%,3%,1%,1%,0%,3.47
"Kinson, Christopher L",STAT 448,67,72%,22%,4%,0%,0%,1%,3.66
"Kinson, Christopher L",STAT 200,35,40%,31%,17%,9%,3%,0%,2.94
"Kinson, Christopher L",STAT 100,186,56%,30%,11%,1%,2%,1%,3.39
"Park, Yeon Joo",STAT 448,37,81%,19%,0%,0%,0%,0%,3.73
"Park, Yeon Joo",STAT 200,29,48%,48%,3%,0%,0%,0%,3.4
"Park, Yeon Joo",EALC 250,49,41%,49%,6%,0%,2%,2%,3.24
"Chen, Xiaohui",STAT 510,62,37%,47%,15%,2%,0%,0%,3.2
"Chen, Xiaohui",STAT 400,691,33%,43%,18%,4%,2%,0%,2.98
"Chen, Yuguo",STAT 525,215,92%,7%,1%,0%,0%,0%,3.88
"Chen, Yuguo",STAT 511,71,90%,7%,1%,1%,0%,0%,3.82
"Chen, Yuguo",STAT 420,86,77%,15%,6%,2%,0%,0%,3.58
"Chen, Yuguo",STAT 428,151,70%,21%,3%,2%,3%,1%,3.49
"Chen, Yuguo",STAT 510,38,82%,16%,3%,0%,0%,0%,3.75
"Zhu, Ruoqing",STAT 542,147,83%,16%,0%,0%,1%,0%,3.76
"Zhu, Ruoqing",STAT 420,86,59%,20%,17%,1%,2%,0%,3.27
"Zhu, Ruoqing",STAT 400,383,55%,26%,11%,5%,2%,0%,3.24
"Chang, Wayne",TAM 210,97,55%,22%,14%,7%,2%,0%,3.2
"Chang, Wayne",TAM 211,142,21%,32%,25%,17%,5%,0%,2.49
"Juarez, Gabriel",TAM 210,431,37%,33%,18%,8%,4%,0%,2.89
"Juarez, Gabriel",TAM 211,390,33%,29%,21%,10%,7%,2%,2.68
"Dullerud, Geir E",TAM 212,840,22%,44%,24%,7%,3%,0%,2.75
"Dullerud, Geir E",ME 360,47,23%,60%,13%,2%,2%,0%,2.97
"Dullerud, Geir E",ME 340,171,40%,43%,15%,2%,0%,0%,3.18
"Dullerud, Geir E",ECE 515,90,59%,38%,3%,0%,0%,0%,3.53
"Dullerud, Geir E",ECE 528,22,68%,27%,0%,5%,0%,0%,3.47
"Sohn, Mariana S",TAM 251,1823,42%,31%,18%,6%,2%,0%,3.04
"Sohn, Mariana S",ME 471,124,61%,20%,10%,2%,4%,2%,3.29
"Sohn, Mariana S",TAM 210,258,42%,29%,17%,9%,3%,0%,2.96
"Sohn, Mariana S",TAM 211,427,32%,29%,22%,10%,5%,0%,2.72
"Keane, Richard D",TAM 335,1634,21%,40%,27%,8%,4%,0%,2.66
"Keane, Richard D",TAM 435,28,71%,29%,0%,0%,0%,0%,3.58
"Keane, Richard D",TAM 210,1658,20%,32%,24%,15%,7%,2%,2.42
"Keane, Richard D",TAM 211,2382,22%,30%,24%,15%,8%,1%,2.41
"Keane, Richard D",MSE 206,293,28%,33%,22%,13%,3%,1%,2.68
"Keane, Richard D",IE 300,670,21%,39%,23%,10%,5%,1%,2.58
"Keane, Richard D",GE 331,26,8%,31%,31%,15%,12%,4%,1.99
"Keane, Richard D",ME 310,43,30%,37%,21%,5%,5%,2%,2.78
"Keane, Richard D",TAM 201,27,67%,33%,0%,0%,0%,0%,3.68
"Ertekin, Elif",TAM 451,58,78%,21%,2%,0%,0%,0%,3.74
"Ertekin, Elif",TAM 212,1109,33%,42%,18%,4%,3%,0%,2.98
"Ertekin, Elif",ME 498,124,82%,18%,0%,0%,0%,0%,3.79
"Wang, Ning",TAM 461,72,86%,14%,0%,0%,0%,0%,3.81
"Wang, Ning",ME 483,146,87%,13%,0%,0%,0%,0%,3.8
"Aluru, Narayana R",TAM 470,55,44%,42%,15%,0%,0%,0%,3.27
"Aluru, Narayana R",ME 310,128,38%,45%,17%,0%,0%,0%,3.21
"Aluru, Narayana R",ME 370,179,49%,46%,5%,0%,0%,0%,3.44
"Pantano-Rubino, Carlos A",TAM 538,28,68%,29%,0%,0%,0%,4%,3.68
"Pantano-Rubino, Carlos A",ME 310,169,30%,32%,35%,2%,1%,1%,2.87
"Pantano-Rubino, Carlos A",TAM 531,22,45%,55%,0%,0%,0%,0%,3.45
"Pantano-Rubino, Carlos A",ME 320,59,31%,36%,34%,0%,0%,0%,2.93
"Pantano-Rubino, Carlos A",TAM 532,21,71%,29%,0%,0%,0%,0%,3.7
"Mehta, Prashant G",TAM 541,246,57%,34%,7%,2%,0%,0%,3.4
"Mehta, Prashant G",ECE 515,27,85%,11%,0%,0%,4%,0%,3.66
"Mehta, Prashant G",TAM 542,30,97%,0%,0%,0%,3%,0%,3.86
"Mehta, Prashant G",ME 360,175,33%,46%,16%,3%,2%,1%,3.01
"Mehta, Prashant G",ECE 528,23,39%,57%,0%,0%,4%,0%,3.3
"Sofronis, Petros",TAM 551,172,38%,48%,12%,1%,1%,0%,3.25
"Sorkin, Harlan L",TE 250,38,95%,3%,0%,3%,0%,0%,3.88
"Sorkin, Harlan L",ENG 250,78,91%,6%,0%,0%,1%,1%,3.87
"Sorkin, Harlan L",TE 298,53,89%,11%,0%,0%,0%,0%,3.82
"Singer, Andrew C",TE 360,58,91%,0%,9%,0%,0%,0%,3.86
"Singer, Andrew C",TE 460,49,92%,6%,2%,0%,0%,0%,3.9
"Singer, Andrew C",ENG 360,80,88%,2%,10%,0%,0%,0%,3.8
"Singer, Andrew C",ENG 460,42,93%,2%,5%,0%,0%,0%,3.9
"Singer, Andrew C",ECE 310,159,36%,35%,23%,2%,4%,1%,2.94
"Singer, Andrew C",ECE 311,85,65%,13%,12%,1%,8%,1%,3.25
"Singer, Andrew C",ECE 445,83,47%,34%,13%,4%,2%,0%,3.17
"Singer, Andrew C",ECE 410,119,33%,34%,13%,18%,2%,0%,2.71
"Lilly, Brian P",TE 461,28,79%,21%,0%,0%,0%,0%,3.79
"Lilly, Brian P",ENG 461,54,87%,9%,2%,0%,2%,0%,3.78
"Lilly, Brian P",ENG 566,70,90%,7%,3%,0%,0%,0%,3.87
"Chopra, Sanjiv",TE 567,49,96%,2%,2%,0%,0%,0%,3.95
"Chopra, Sanjiv",ENG 565,169,92%,7%,0%,0%,0%,1%,3.89
"Chopra, Sanjiv",ENG 567,24,96%,4%,0%,0%,0%,0%,3.9
"Ciofalo, Terry A",THEA 100,903,84%,10%,2%,0%,3%,1%,3.73
"Ciofalo, Terry A",THEA 452,26,50%,23%,19%,4%,4%,0%,3.01
"Ciofalo, Terry A",THEA 106,33,24%,42%,21%,6%,6%,0%,2.78
"Morrissette, Jason W",THEA 101,11769,79%,14%,4%,1%,1%,0%,3.66
"Morrissette, Jason W",THEA 110,409,80%,15%,2%,2%,1%,0%,3.7
"Morrissette, Jason W",THEA 170,213,69%,24%,5%,1%,0%,0%,3.52
"Morrissette, Jason W",THEA 399,100,97%,2%,0%,0%,1%,0%,3.93
"Morrissette, Jason W",THEA 175,23,57%,22%,22%,0%,0%,0%,3.29
"Miller, Thomas J",THEA 102,170,83%,13%,3%,1%,1%,0%,3.74
"Miller, Thomas J",THEA 101,143,93%,4%,2%,0%,1%,0%,3.87
"Robinson, Valleri J",THEA 208,119,80%,16%,4%,0%,0%,0%,3.72
"Robinson, Valleri J",THEA 262,88,62%,25%,7%,0%,6%,0%,3.32
"Bunch, Caroline M",THEA 360,35,26%,46%,20%,0%,9%,0%,2.73
"Boesche, John A",THEA 595,86,62%,21%,13%,2%,2%,0%,3.36
"Harper, Joe G",TSM 100,852,18%,37%,29%,10%,6%,1%,2.47
"Harper, Joe G",TSM 232,307,30%,48%,17%,3%,1%,1%,3.02
"Harper, Joe G",TSM 233,537,34%,42%,19%,2%,2%,1%,3.01
"Harper, Joe G",TSM 234,371,33%,46%,17%,4%,0%,0%,3.03
"Harper, Joe G",TSM 371,40,22%,60%,10%,5%,0%,2%,3.14
"Harper, Joe G",TSM 262,25,36%,36%,20%,4%,4%,0%,2.84
"Rodriguez, Luis F",TSM 311,712,66%,24%,5%,2%,2%,1%,3.46
"Rodriguez, Luis F",ACES 102,54,91%,6%,4%,0%,0%,0%,3.86
"Rodriguez, Luis F",ABE 222,46,28%,48%,11%,9%,4%,0%,2.93
"Chu, Ma Librada C",TSM 352,24,25%,38%,8%,17%,8%,4%,2.57
"Petrea, Robert E",TSM 422,334,61%,33%,4%,0%,2%,1%,3.54
"Bhalerao, Kaustubh",TSM 435,197,64%,25%,7%,0%,4%,0%,3.43
"Bhalerao, Kaustubh",ABE 141,142,68%,24%,3%,1%,4%,0%,3.45
"Bhalerao, Kaustubh",ABE 446,22,86%,14%,0%,0%,0%,0%,3.7
"Bhalerao, Kaustubh",BIOE 505,25,96%,4%,0%,0%,0%,0%,3.96
"Greenlee, Andrew J",UP 101,648,62%,23%,8%,3%,4%,1%,3.33
"Greenlee, Andrew J",UP 473,23,96%,4%,0%,0%,0%,0%,3.93
"Greenlee, Andrew J",UP 505,94,68%,23%,3%,0%,4%,1%,3.44
"Greenlee, Andrew J",UP 508,95,84%,12%,1%,0%,3%,0%,3.67
"Barajas, Jesus",UP 203,26,50%,38%,8%,0%,4%,0%,3.28
"Tyler, Elizabeth H",UP 211,65,71%,26%,2%,2%,0%,0%,3.64
"Tyler, Elizabeth H",UP 311,211,71%,20%,8%,0%,0%,0%,3.59
"Tyler, Elizabeth H",UP 494,45,53%,40%,4%,2%,0%,0%,3.42
"Chakraborty, Arnab",UP 312,288,44%,47%,6%,2%,0%,1%,3.29
"Chakraborty, Arnab",UP 510,137,76%,22%,1%,0%,1%,1%,3.64
"Eisenburger, Maximilian H",UP 330,23,74%,9%,17%,0%,0%,0%,3.52
"Prochaska, Natalie K",UP 418,34,71%,29%,0%,0%,0%,0%,3.67
"Miraftab, Faranak",UP 423,153,80%,18%,2%,0%,0%,0%,3.72
"Miraftab, Faranak",UP 185,251,51%,31%,11%,5%,2%,0%,3.22
"Miraftab, Faranak",GCL 200,25,56%,36%,4%,4%,0%,0%,3.47
"Olshansky, Robert B",UP 438,155,37%,51%,10%,0%,1%,1%,3.25
"Olshansky, Robert B",UP 347,72,31%,61%,8%,0%,0%,0%,3.2
"Lee, Bumsoo",UP 460,25,76%,24%,0%,0%,0%,0%,3.68
"Lee, Bumsoo",UP 316,215,43%,47%,7%,3%,0%,0%,3.29
"Lee, Bumsoo",UP 509,22,86%,9%,0%,0%,5%,0%,3.67
"Lee, Bumsoo",UP 494,24,54%,46%,0%,0%,0%,0%,3.47
"Lee, Bumsoo",UP 116,35,34%,40%,23%,3%,0%,0%,2.97
"Harwood, Stacy A",UP 501,184,64%,28%,7%,0%,1%,0%,3.53
"Harwood, Stacy A",UP 335,23,43%,39%,0%,17%,0%,0%,3.04
"Harwood, Stacy A",UP 474,65,51%,38%,5%,6%,0%,0%,3.29
"Wilson, Beverly K",UP 504,238,77%,21%,2%,0%,0%,0%,3.73
"Wilson, Beverly K",UP 204,204,35%,45%,14%,2%,3%,0%,3.06
"Stewart, Matthew C",VCM 660,143,50%,38%,7%,5%,0%,0%,3.33
"Stewart, Matthew C",VCM 653,123,32%,51%,16%,1%,0%,0%,3.14
"Mahoney, Megan M",VM 602,1051,11%,46%,35%,7%,0%,0%,2.61
"Zuckermann, Federico A",VM 605,1126,15%,45%,36%,4%,0%,0%,2.71
"Maddox, Carol W",VM 607,642,13%,64%,23%,0%,0%,0%,2.88
"Hamor, Ralph E",VM 609,728,12%,63%,24%,0%,0%,0%,2.87
"Hamor, Ralph E",VCM 630,118,47%,48%,5%,0%,0%,0%,3.42
"Selmic, Laura",VM 610,365,9%,48%,39%,4%,0%,0%,2.62
"Ballantyne, Kelly C",VM 620,208,81%,17%,1%,0%,0%,0%,3.79
"Anderson Bliss, Jennifer",YDSH 320,46,63%,22%,13%,2%,0%,0%,3.38
"Anderson Bliss, Jennifer",CWL 242,27,63%,19%,4%,7%,7%,0%,3.14
"Anderson Bliss, Jennifer",CWL 151,22,68%,23%,9%,0%,0%,0%,3.58
"Lee, Sang S",AAS 100,240,61%,29%,8%,1%,1%,0%,3.47
"Lee, Sang S",UP 335,24,54%,33%,12%,0%,0%,0%,3.4
"Lee, Jean Y",AAS 100,74,76%,16%,5%,3%,0%,0%,3.61
"Lee, Jean Y",ENGL 200,29,86%,7%,0%,0%,7%,0%,3.61
"Lee, Jean Y",RHET 105,66,89%,2%,2%,3%,3%,2%,3.66
"Eng, Christopher A",AAS 120,27,70%,22%,4%,0%,0%,4%,3.68
"Cacho, Lisa M",AAS 215,87,43%,36%,11%,6%,3%,1%,3.02
"Cacho, Lisa M",LLS 240,27,44%,37%,15%,4%,0%,0%,3.22
"Cacho, Lisa M",LLS 385,24,67%,29%,0%,0%,0%,4%,3.74
"Zhang, Yuanhui",ABE 225,229,41%,49%,7%,1%,2%,0%,3.27
"Zhang, Yuanhui",ABE 501,22,91%,5%,0%,5%,0%,0%,3.83
"Gebhardt, Abbey L",ACCY 201,164,42%,27%,17%,8%,5%,1%,2.88
"Jones, Brock A",ACCY 201,174,43%,30%,13%,9%,2%,2%,3.04
"Pietura, Magdalena",ACCY 201,153,38%,26%,16%,8%,8%,3%,2.74
